FileName,LabelText
o_0271/o_0271-13003-02-01-KES-F-08-A.wav,지금 사이트 즐겨 찾기에 넣어 줘.
o_0271/o_0271-13004-02-01-KES-F-08-A.wav,분위기 살려 주는 노래 알려 줘.
o_0271/o_0271-13005-02-01-KES-F-08-A.wav,나 혼자 있으니 아무 말이나 해 봐.
o_0271/o_0271-13006-02-01-KES-F-08-A.wav,내일은 알람 일곱시로 맞춰 줘.
o_0271/o_0271-13008-02-01-KES-F-08-A.wav,채널 변경해 줄래?
o_0271/o_0271-13009-02-01-KES-F-08-A.wav,화질 낮은 거 좀 해결해 줘.
o_0271/o_0271-13010-02-01-KES-F-08-A.wav,퍼즐 놀이 틀어 줘.
o_0271/o_0271-13011-02-01-KES-F-08-A.wav,순위에 있는 빌보드 노래 띄워 줘.
o_0271/o_0271-13012-02-01-KES-F-08-A.wav,내가 선택한 번호로 해서 한 장 줘.
o_0271/o_0271-13014-02-01-KES-F-08-A.wav,끝말잇기 하고 싶은데 상대가 돼 줄래?
o_0271/o_0271-13015-02-01-KES-F-08-A.wav,화면 안 깨지게 해 줘.
o_0271/o_0271-13018-02-01-KES-F-08-A.wav,안 들리니까 자막 켜라.
o_0271/o_0271-13019-02-01-KES-F-08-A.wav,문자 발신인 순으로 정리해 줘.
o_0271/o_0271-13020-02-01-KES-F-08-A.wav,로또 번호 적혀있는 걸로 로또 구입해 줘.
o_0271/o_0271-13021-02-01-KES-F-08-A.wav,간주를 넘겨 줘.
o_0271/o_0271-13022-02-01-KES-F-08-A.wav,케이블 채널 틀어 줘.
o_0271/o_0271-13023-02-01-KES-F-08-A.wav,문자 최신순으로 정렬해.
o_0271/o_0271-13024-02-01-KES-F-08-A.wav,조용히 명상하고 싶은데 영상 뭐 괜찮은 거 있나?
o_0271/o_0271-13025-02-01-KES-F-08-A.wav,비상 문자 보내 줘.
o_0271/o_0271-13026-02-01-KES-F-08-A.wav,지금 메시지 작성하게 도와 줄 수 있니?
o_0271/o_0271-13027-02-01-KES-F-08-A.wav,티브이 채널 구 번으로 바꿔 줄래 ?
o_0271/o_0271-13028-02-01-KES-F-08-A.wav,내일 비가 예보되어 있나?
o_0271/o_0271-13029-02-01-KES-F-08-A.wav,심심한데 같이 대화할 수 있어?
o_0271/o_0271-13034-02-01-KES-F-08-A.wav,일일사 상담직원한테 전화 걸어 줘.
o_0271/o_0271-13036-02-01-KES-F-08-A.wav,나가니까 핸드폰으로 전화 돌려 줘.
o_0271/o_0271-13037-02-01-KES-F-08-A.wav,지금 탈수 돌리고 있어?
o_0271/o_0271-13038-02-01-KES-F-08-A.wav,오늘 별자리 운세가 너무 궁금해요.
o_0271/o_0271-13039-02-01-KES-F-08-A.wav,로또 번호 수동 선택 후 구매.
o_0271/o_0271-13041-02-01-KES-F-08-A.wav,지금 밖에 날씨 쌀쌀하니?
o_0271/o_0271-13043-02-01-KES-F-08-A.wav,실시간 검색 순위 좀 봐 줘.
o_0271/o_0271-13044-02-01-KES-F-08-A.wav,한국 축구 뉴스들 좀 켜 놔라.
o_0271/o_0271-13048-02-01-KES-F-08-A.wav,긴급하다고 아들에게 알려!
o_0271/o_0271-13049-02-01-KES-F-08-A.wav,온도 알려 줘.
o_0271/o_0271-13050-02-01-KES-F-08-A.wav,즐겨 찾는 인터넷 사이트로 이거 등록해.
o_0271/o_0271-13053-02-01-KES-F-08-A.wav,라디오 주파수 맞춰 줄래?
o_0271/o_0271-13054-02-01-KES-F-08-A.wav,오늘 강수 확률 어떤지 알려 줘.
o_0271/o_0271-13055-02-01-KES-F-08-A.wav,오늘 비 안 오지?
o_0271/o_0271-13056-02-01-KES-F-08-A.wav,일일구 빨리!
o_0271/o_0271-13058-02-01-KES-F-08-A.wav,여기 주변 맛집 별점 순위로 좀 보여 줘 봐.
o_0271/o_0271-13059-02-01-KES-F-08-A.wav,청소하게 청소기 켜 줘.
o_0271/o_0271-13060-02-01-KES-F-08-A.wav,명상할 때 틀만 한 영상 있나?
o_0271/o_0271-13062-02-01-KES-F-08-A.wav,문자 안 읽은 순서대로 정리해서 보여 주세요.
o_0271/o_0271-13063-02-01-KES-F-08-A.wav,메세지에 약속 단어 들어간게 있나?
o_0271/o_0271-13066-02-01-KES-F-08-A.wav,일요일에 골프 일정 있다고 적어 놔 줘.
